"Parameter","Value","Pain_VAS","Pain_red","TNF","IL6","BDNF","CPT","OPRM1_fold"
"k_up",0.05,4.21097227918916,39.8432531544405,1.5533355293381,10.8107051002943,2.18075574572603,40.2868702379462,1.81967213114754
"k_up",0.08,4.20377025810904,39.9461391698708,1.5533355293381,10.8107051002943,2.18075574572603,40.3775955382674,1.87912087912088
"k_up",0.12,4.19930119127794,40.0099829817437,1.5533355293381,10.8107051002943,2.18075574572603,40.4338932672003,1.91603053435114
"k_reb",0.005,4.24141266320771,39.4083905256041,1.5533355293381,10.8107051002943,2.18075574572603,39.9031642033348,1.81967213114754
"k_reb",0.01,4.22317153322599,39.6689780967715,1.5533355293381,10.8107051002943,2.18075574572603,40.1331711560061,1.81967213114754
"k_reb",0.02,4.21097227918916,39.8432531544405,1.5533355293381,10.8107051002943,2.18075574572603,40.2868702379462,1.81967213114754
"k_reb",0.04,4.20377256270664,39.946106247048,1.5533355293381,10.8107051002943,2.18075574572603,40.3775666603588,1.81967213114754
"k_reb",0.08,4.19983898149084,40.0023002644166,1.5533355293381,10.8107051002943,2.18075574572603,40.4271187724157,1.81967213114754
"Kd_OPRM1",2e-04,4.66955746346118,33.2920362362688,1.5533355293381,10.8107051002943,2.18075574572603,36.8129576214562,1.83056478405315
"Kd_OPRM1",5e-04,4.48852056839185,35.8782775944021,1.5533355293381,10.8107051002943,2.18075574572603,38.1303665443005,1.82644628099173
"Kd_OPRM1",0.001,4.21097227918916,39.8432531544405,1.5533355293381,10.8107051002943,2.18075574572603,40.2868702379462,1.81967213114754
"Kd_OPRM1",0.002,3.78744452328589,45.8936496673444,1.5533355293381,10.8107051002943,2.18075574572603,43.696085812612,1.80645161290322
"Kd_OPRM1",0.005,3.16307052673224,54.8132781895394,1.5533355293381,10.8107051002943,2.18075574572603,48.7257782022491,1.76923076923046
"k_hyper",0.1,3.29104387307786,52.9850875274591,1.5533355293381,10.8107051002943,2.18075574572603,44.8865122861324,1.81967213114754
"k_hyper",0.3,3.75100807613424,46.4141703409394,1.5533355293381,10.8107051002943,2.18075574572603,42.5866912620637,1.81967213114754
"k_hyper",0.5,4.21097227918916,39.8432531544405,1.5533355293381,10.8107051002943,2.18075574572603,40.2868702379462,1.81967213114754
"k_hyper",0.8,4.90091858374347,29.9868773750932,1.5533355293381,10.8107051002943,2.18075574572603,36.8371387021903,1.81967213114754
"k_hyper",1.2,5.82084698986619,16.8450430019116,1.5533355293381,10.8107051002943,2.18075574572603,32.237496653429,1.81967213114754
"kIL6_BDNF",0.1,4.19717202743193,40.0403996081154,1.5533355293381,10.8107051002943,1.35393317591385,40.3558714973469,1.81967213114754
"kIL6_BDNF",0.3,4.20571414922674,39.9183692967608,1.5533355293381,10.8107051002943,1.76734446081994,40.3131608879408,1.81967213114754
"kIL6_BDNF",0.5,4.21097227918916,39.8432531544405,1.5533355293381,10.8107051002943,2.18075574572603,40.2868702379462,1.81967213114754
"kIL6_BDNF",0.8,4.21590763773484,39.7727480323594,1.5533355293381,10.8107051002943,2.80087267308517,40.262193445415,1.81967213114754
"kIL6_BDNF",1.2,4.21938499953155,39.7230714352636,1.5533355293381,10.8107051002943,3.62769524289735,40.244806636125,1.81967213114754
"kB_TAC1",0.3,4.19777393028215,40.0318009959693,1.5533355293381,10.8107051002943,2.18075574572603,40.3528619827198,1.81967213114754
"kB_TAC1",0.7,4.20728059131761,39.8959915526056,1.5533355293381,10.8107051002943,2.18075574572603,40.3053286768057,1.81967213114754
"kB_TAC1",1,4.21097227918916,39.8432531544405,1.5533355293381,10.8107051002943,2.18075574572603,40.2868702379462,1.81967213114754
"kB_TAC1",1.5,4.21435426278871,39.7949391030184,1.5533355293381,10.8107051002943,2.18075574572603,40.2699603198261,1.81967213114754
"kB_TAC1",2.5,4.21662696987894,39.7624718588723,1.5533355293381,10.8107051002943,2.18075574572603,40.2585967844271,1.81967213114754
"Em_BDNF",0.2,3.68686062939085,47.3305624372735,1.5533355293381,10.8107051002943,2.18075574572603,42.9074284969085,1.81967213114754
"Em_BDNF",0.4,4.03626839592226,42.3390229153963,1.5533355293381,10.8107051002943,2.18075574572603,41.1603896576289,1.81967213114754
"Em_BDNF",0.5,4.21097227918916,39.8432531544405,1.5533355293381,10.8107051002943,2.18075574572603,40.2868702379462,1.81967213114754
"Em_BDNF",0.7,4.56038004572175,34.8517136325464,1.5533355293381,10.8107051002943,2.18075574572603,38.5398313985775,1.81967213114754
"Em_BDNF",1,5.0844916955247,27.3644043496471,1.5533355293381,10.8107051002943,2.18075574572603,35.9192731393931,1.81967213114754
"Em_TNF",0.1,3.86015947018539,44.8548647116373,1.5533355293381,10.8107051002943,2.18075574572603,42.0409342896408,1.81967213114754
"Em_TNF",0.2,4.03556587467719,42.3490589331829,1.5533355293381,10.8107051002943,2.18075574572603,41.1639022640079,1.81967213114754
"Em_TNF",0.3,4.21097227918916,39.8432531544405,1.5533355293381,10.8107051002943,2.18075574572603,40.2868702379462,1.81967213114754
"Em_TNF",0.5,4.56178508817867,34.8316415974475,1.5533355293381,10.8107051002943,2.18075574572603,38.5328061864858,1.81967213114754
"Em_TNF",0.8,5.08800430171725,27.3142242611821,1.5533355293381,10.8107051002943,2.18075574572603,35.9017101082027,1.81967213114754
"kdTNF",0.2,4.21374553156072,39.8036352634183,2.81361262967153,10.8107051002943,2.18075574572603,40.2730039760126,1.81967213114754
"kdTNF",0.5,4.21281449707031,39.8169357561384,1.93803972336651,10.8107051002943,2.18075574572603,40.2776591484462,1.81967213114754
"kdTNF",0.693,4.21097227918916,39.8432531544405,1.5533355293381,10.8107051002943,2.18075574572603,40.2868702379462,1.81967213114754
"kdTNF",1,4.20819290544518,39.8829584936402,1.17180031220115,10.8107051002943,2.18075574572603,40.3007671067971,1.81967213114754
"kdTNF",2,4.20096875376969,39.986160660433,0.665380944950118,10.8107051002943,2.18075574572603,40.336887865067,1.81967213114754
"kdIL6",0.05,4.21913923614632,39.7265823407668,1.5533355293381,25.0808358326826,3.54501298591612,40.2460354530209,1.81967213114754
"kdIL6",0.08,4.21489525142168,39.787210693976,1.5533355293381,15.6755223954267,2.64584344124538,40.2672553767633,1.81967213114754
"kdIL6",0.116,4.21097227918916,39.8432531544405,1.5533355293381,10.8107051002943,2.18075574572603,40.2868702379462,1.81967213114754
"kdIL6",0.2,4.20538474639603,39.9230750514853,1.5533355293381,6.27020895817069,1.74667389657464,40.3148079015631,1.81967213114754
"kdIL6",0.4,4.19952882954582,40.0067310064883,1.5533355293381,3.13510447908535,1.44695071501772,40.3440874862165,1.81967213114754
