"Scenario","week","Pain","Pain_red","TNF","IL6","IL10","CPT","OPRM1_fold","Endo_fold"
"LDN 6.0mg",8,4.39143159931616,37.265262866912,1.55291596713399,10.808198543089,3.06335337036847,38.8719587517001,1.82417582417582,4.15789473684141
"LDN 6.0mg",9,4.39143159931615,37.2652628669122,1.55291596713399,10.808198543089,3.06335337036847,38.8719587517003,1.82417582417582,4.15789473684208
"LDN 6.0mg",10,4.39143159931615,37.2652628669122,1.55291596713399,10.808198543089,3.06335337036847,38.8719587517003,1.82417582417582,4.15789473684209
"LDN 6.0mg",11,4.39143159931615,37.2652628669122,1.55291596713399,10.808198543089,3.06335337036847,38.8719587517003,1.82417582417582,4.15789473684209
"LDN 6.0mg",12,4.39143159931615,37.2652628669122,1.55291596713399,10.808198543089,3.06335337036847,38.8719587517003,1.82417582417582,4.15789473684209
"Placebo",0,7,0,0.08,0.1,0.015,25,1,1
"Placebo",1,3.05491933107219,56.3582952703973,1.567108876551,10.2455957933708,2.89079239569261,45.6462920595345,1,1
"Placebo",2,2.8207151819749,59.7040688289299,1.55417556216982,10.8157228705064,3.06311440709932,49.7489331648715,1,1
"Placebo",3,2.82071516903447,59.7040690137932,1.55417554852332,10.8157228725087,3.0631144965643,49.7501186808214,1,1
"Placebo",4,2.82071516903447,59.7040690137932,1.55417554852332,10.8157228725087,3.06311449656436,49.7501189582789,1,1
"Placebo",5,2.82071516903447,59.7040690137932,1.55417554852332,10.8157228725087,3.06311449656436,49.7501189583553,1,1
"Placebo",6,2.82071516903447,59.7040690137932,1.55417554852332,10.8157228725087,3.06311449656436,49.7501189583553,1,1
"Placebo",7,2.82071516903447,59.7040690137932,1.55417554852332,10.8157228725087,3.06311449656436,49.7501189583553,1,1
"Placebo",8,2.82071516903447,59.7040690137932,1.55417554852332,10.8157228725087,3.06311449656436,49.7501189583553,1,1
"Placebo",9,2.82071516903447,59.7040690137932,1.55417554852332,10.8157228725087,3.06311449656436,49.7501189583553,1,1
"Placebo",10,2.82071516903447,59.7040690137932,1.55417554852332,10.8157228725087,3.06311449656436,49.7501189583553,1,1
"Placebo",11,2.82071516903447,59.7040690137932,1.55417554852332,10.8157228725087,3.06311449656436,49.7501189583553,1,1
"Placebo",12,2.82071516903447,59.7040690137932,1.55417554852332,10.8157228725087,3.06311449656436,49.7501189583553,1,1
"Titration 1.5->6mg",0,7,0,0.08,0.1,0.015,25,1,1
"Titration 1.5->6mg",1,3.68633257103317,47.3381061280976,1.56678406543127,10.2475633113911,2.89184962700824,42.2594008316201,1.69347603030757,3.15117841595577
"Titration 1.5->6mg",2,3.97824943732271,43.1678651811041,1.55359645960099,10.8123417241588,3.0632086059238,42.5815791793697,1.81130170565581,4.05636943661262
"Titration 1.5->6mg",3,4.19983397955872,40.0023717205897,1.5533423026198,10.8108040158445,3.06326078671588,40.5303393101228,1.81907844045369,4.12957464769085
"Titration 1.5->6mg",4,4.38138906519044,37.4087276401366,1.55292725231575,10.8083633115182,3.06333184773029,39.0872457763089,1.8237204474553,4.1527522131362
"Titration 1.5->6mg",5,4.39143330640163,37.2652384799767,1.55291596713669,10.8081985430896,3.06335337035076,38.8719838542118,1.82417579188465,4.15779935889252
"Titration 1.5->6mg",6,4.39143163197119,37.2652624004116,1.55291596713399,10.808198543089,3.06335337036847,38.8719581051546,1.82417582417306,4.15789290622651
"Titration 1.5->6mg",7,4.3914315999474,37.2652628578943,1.55291596713399,10.808198543089,3.06335337036847,38.8719587389066,1.82417582417582,4.15789470145402
"Titration 1.5->6mg",8,4.39143159932837,37.2652628667376,1.55291596713399,10.808198543089,3.06335337036847,38.8719587514526,1.82417582417582,4.15789473615691
"Titration 1.5->6mg",9,4.39143159931638,37.2652628669089,1.55291596713399,10.808198543089,3.06335337036847,38.8719587516956,1.82417582417582,4.15789473682884
"Titration 1.5->6mg",10,4.39143159931615,37.2652628669121,1.55291596713399,10.808198543089,3.06335337036847,38.8719587517002,1.82417582417582,4.15789473684185
"Titration 1.5->6mg",11,4.39143159931615,37.2652628669122,1.55291596713399,10.808198543089,3.06335337036847,38.8719587517003,1.82417582417582,4.15789473684209
"Titration 1.5->6mg",12,4.39143159931615,37.2652628669122,1.55291596713399,10.808198543089,3.06335337036847,38.8719587517003,1.82417582417582,4.15789473684209
