"sample","Pain_VAS","Pain_red","TNF","IL6","BDNF","CPT","kon","koff","kT_TNF","kT_IL6","k_up","k_reb","Kd_OPRM1","k_hyper","kIL6_BDNF","kB_TAC1","kdTNF","kdIL6"
200,3.85035185710831,44.9949734698813,1.03902160472861,7.44700657026204,2.16527797492154,42.5529804194873,0.360748160695393,2.31779471290057,1.79875352370708,1.20265674775777,0.0502104028583892,0.0600783570538624,0.00125503081941232,0.399470651130502,0.714972352797631,0.456540369195243,1.29629576423811,0.178365619814722
201,3.54938261557753,49.2945340631781,2.61701246607823,4.93701878951954,1.90200162599655,46.7142865081972,0.349868756364612,2.55955586833468,3.62925753215871,1.89648302741488,0.0344812515589797,0.0482161220681155,0.00472706686808541,0.907263566159022,0.799565217848013,1.39468789841095,0.626680973975454,0.320799641629254
202,3.60625895403571,48.4820149423471,1.16809806014975,5.39150270566631,1.45294101367701,46.089253706147,0.062069483738152,4.0825750056194,2.80055552479617,1.37291749710729,0.0378981676363231,0.0545823737685569,0.00387767884736881,0.795297090111766,0.296555819187546,0.412986860315626,1.51757589904498,0.258179965070565
203,3.71305146365314,46.9564076620981,1.60588292636173,29.0909812361952,1.92618476354531,44.6769273757256,0.279776455940151,4.79241981189131,2.59499278305564,2.19186677405766,0.043027324903151,0.0404054594265181,0.00256819016893953,0.573867137847468,0.140041557218879,1.62146031860464,0.977360125463456,0.0582087674055947
204,3.28241258406393,53.1083916562296,1.70540648305886,7.19380077645743,1.62790622350592,47.9389683326534,0.42159300095023,3.54241512804773,2.91654304644093,2.39486544611196,0.0981990632072401,0.0110356844795751,0.0045450273754485,0.565333154979472,0.349460546247428,2.03377486746774,0.994519405520055,0.245688740217282
205,3.56942743106059,49.0081795562773,0.754322953328487,6.6804563584511,1.97627092127176,46.3377646111414,0.48243052087333,4.37265388308318,1.04896074952596,2.00209222328616,0.0648548973733404,0.00698087593045784,0.00483129515788704,0.921701324588852,0.64904202431712,1.16886025527911,1.4483296812023,0.242936196626203
206,4.7281578006679,32.4548885618871,1.70624321936841,4.39264067143632,1.69595037729552,38.789790305646,0.294832767007624,1.8189713023485,3.76032545353325,1.72084236701361,0.0367860471100702,0.0488177818742697,0.00179203485282883,0.982368077339449,0.653324660019871,1.73778058759061,1.2210290443846,0.345788667355392
207,3.76898577661213,46.1573460483981,3.42289830790507,7.43461512289125,1.71252747731109,43.4850709447852,0.435495631561444,3.51043596019759,2.95633933340316,1.70794269500859,0.109746644670516,0.0465740534895449,0.0015580527315028,0.416012608333801,0.39766936922314,2.28278924109352,0.264303610248491,0.203710112563528
208,5.7022522803551,18.5392531377843,1.32307992299958,5.58380866357589,1.53090730875653,31.8974005579193,0.345588445253274,4.94536565707321,3.89965853897079,1.81822192418762,0.0218150818214752,0.00571882604999701,0.000484659387584776,0.93790741295903,0.359368550338472,1.2700609408156,1.69043161591934,0.278590934137154
209,3.8706691092192,44.7047270111543,1.65163930896011,3.91784266998923,1.92278018417574,45.0960242145845,0.455031862616586,0.594402484461122,2.30450174203569,1.58587590389761,0.0836224192258126,0.079413828437333,0.0040513703960143,1.11856500536413,1.03529945046268,0.599820585950433,0.858523740368895,0.373778753533571
